NP,power,time,bkg
2,50.0,11,7521330.105399411
2,50.0,12,4134162.2612304487
2,50.0,13,4968696.126756842
2,50.0,14,4389386.660300922
2,50.0,15,4815837.7962499885
2,50.0,16,6677979.694839137
2,50.0,17,4321239.57484778
2,50.0,18,6017656.437119176
2,50.0,19,4187634.8960036137
2,50.0,20,3689079.088042166
2,50.0,21,4011084.9666083194
2,50.0,22,5390196.013882022
2,50.0,23,4574365.072820453
2,50.0,24,3837790.5366182383
2,50.0,25,3496474.2659373283
2,50.0,26,3542393.331304572
2,50.0,27,4444508.1230403995
2,50.0,28,3966390.431772661
2,50.0,29,7191944.250719739
2,50.0,30,4671184.54221215
2,50.0,31,3488104.3843878573
2,50.0,32,3401221.973978334
2,50.0,33,4000413.788754658
2,50.0,34,3637579.6405798737
2,50.0,35,3944153.4842774784
2,50.0,36,4412719.587426467
2,50.0,37,4255629.004884597
2,50.0,38,4131279.208499465
2,50.0,39,4792659.564306543
2,50.0,40,4508315.972827414
2,50.0,41,5524455.81978405
2,50.0,42,4288268.294225929
2,50.0,43,3571870.831519964
2,50.0,44,3673635.848638481
2,50.0,45,3822726.9777325923
2,50.0,46,3461833.5103484346
2,50.0,47,3314470.3158792024
2,50.0,48,3079918.784016067
2,50.0,49,2918113.758984983
2,50.0,50,2988299.8549406677
2,50.0,51,3192182.229550303
2,50.0,52,2849883.1517818933
2,50.0,53,3158464.3402439915
2,50.0,54,3594278.221670798
2,50.0,55,3254837.8285918804
2,50.0,56,2649107.05009077
2,50.0,57,3082995.02698999
2,50.0,58,3249042.5077042026
2,50.0,59,3004650.4871833124
2,50.0,60,2880461.966338937
2,50.0,61,2999104.5862668334
2,50.0,62,3085266.0451821582
2,50.0,63,3005776.21905077
2,50.0,64,3033548.834636285
2,50.0,65,3450189.172032708
2,50.0,66,3466754.5654363753
2,50.0,67,3298842.168931282
2,50.0,68,3556261.4599801446
2,50.0,69,2711640.8799083894
2,50.0,70,2932553.03168265
2,50.0,71,3107304.9170467257
2,50.0,72,3663933.2853902793
2,50.0,73,3304730.199751981
2,50.0,74,3003837.1511049126
2,50.0,75,2931569.600240074
2,50.0,76,3384134.574372904
2,50.0,77,3258726.7891670517
2,50.0,78,3097324.1912846537
2,50.0,79,3150273.4691943796
2,50.0,80,2874817.381793366
2,50.0,81,2820823.2447434943
2,50.0,82,2698341.807172966
2,50.0,83,2740355.629668423
2,50.0,84,2643037.655920469
2,50.0,85,2936786.472059964
2,50.0,86,2829730.773400597
2,50.0,87,3143154.289314733
2,50.0,88,2701532.171683147
2,50.0,89,2895016.6970242746
2,50.0,90,2919763.55406896
2,50.0,91,3088962.9641620973
2,50.0,92,3048652.565024992
2,50.0,93,3042504.359727806
2,50.0,94,3001091.789958928
2,50.0,95,2724198.0034091817
2,50.0,96,2361486.8863151534
2,50.0,97,2503549.759477401
2,50.0,98,2551357.883325124
2,50.0,99,2637888.607269422
2,50.0,100,3196013.0465859636
2,50.0,101,2955061.342781158
2,50.0,102,2791387.0258857347
2,50.0,103,2840310.5906433444
2,50.0,104,2717930.9460227257
2,50.0,105,2903231.794979358
2,50.0,106,2519386.1393984286
2,50.0,107,2636455.59996982
2,50.0,108,2420399.1260068235
2,50.0,109,2441002.8296078825
2,50.0,110,2268389.35751676
2,50.0,111,2274466.3106059697
2,50.0,112,2376593.48226745
2,50.0,113,2813619.372934047
2,50.0,114,2944923.1163554043
2,50.0,115,2784898.8893873426
2,50.0,116,2351046.793224454
